#Title : in-situ observations catalog
#Description : catalog of available in-situ observations per platform
#Project : MyOcean
#Format Version : 1.0
#Last Update : 20151217130514
#catalog_id,file_name,geospatial_lat_min,geospatial_lat_max,geospatial_lon_min,geospatial_lon_max,time_coverage_start,time_coverage_end,provider,date_update,data_mode,parameters
MYO-MOON-01,ftp://medinsitu.hcmr.gr/Core/INSITU_MED_NRT_OBSERVATIONS_013_035/latest/20151117/GL_LATEST_PR_GL_58970_20151117.nc,43.2706,43.3877,7.89072,8.05415,2015-11-17T00:07:54Z,2015-11-17T23:29:46Z,INSU  Institut National des Sciences de l'Univers,2015-12-01T12:50:58Z,R, PRES CNDC TEMP_DOXY CDOM TEMP PSAL
MYO-MOON-01,ftp://medinsitu.hcmr.gr/Core/INSITU_MED_NRT_OBSERVATIONS_013_035/latest/20151117/GL_LATEST_PR_GL_68452_20151117.nc,38.9739,38.9781,0.21147,0.28203,2015-11-17T05:17:09Z,2015-11-17T11:11:51Z,SOCIB (Spain),2015-12-01T14:30:33Z,R, PRES CNDC TEMP PSAL
MYO-MOON-01,ftp://medinsitu.hcmr.gr/Core/INSITU_MED_NRT_OBSERVATIONS_013_035/latest/20151117/GL_LATEST_PR_GL_68954_20151117.nc,42.9674,43.0351,5.20734,5.29525,2015-11-17T00:04:26Z,2015-11-17T23:13:17Z,INSU  Institut National des Sciences de l'Univers,2015-12-01T12:50:46Z,R, PRES PSAL TEMP BBP700 CNDC
MYO-MOON-01,ftp://medinsitu.hcmr.gr/Core/INSITU_MED_NRT_OBSERVATIONS_013_035/latest/20151117/GL_LATEST_PR_PF_1900832_20151117.nc,33.063,33.063,27.913,27.913,2015-11-17T01:17:42Z,2015-11-17T01:17:42Z,US NAVAL OCEANOGRAPHIC OFFICE(BAY ST LOUIS  MISSISSIPI),2015-12-01T12:51:19Z,R, PRES PRES_ADJUSTED TEMP TEMP_ADJUSTED PSAL PSAL_ADJUSTED
MYO-MOON-01,ftp://medinsitu.hcmr.gr/Core/INSITU_MED_NRT_OBSERVATIONS_013_035/latest/20151117/GL_LATEST_PR_PF_1900957_20151117.nc,33.77,33.77,35.307,35.307,2015-11-17T03:42:50Z,2015-11-17T03:42:50Z,US NAVAL OCEANOGRAPHIC OFFICE(BAY ST LOUIS  MISSISSIPI),2015-12-01T11:23:56Z,R, PRES PRES_ADJUSTED TEMP TEMP_ADJUSTED PSAL PSAL_ADJUSTED
MYO-MOON-01,ftp://medinsitu.hcmr.gr/Core/INSITU_MED_NRT_OBSERVATIONS_013_035/latest/20151117/GL_LATEST_PR_PF_6900662_20151117.nc,38.331,38.331,4.018,4.018,2015-11-17T02:02:50Z,2015-11-17T02:02:50Z,SOCIB (Spain),2015-12-01T14:30:19Z,R, PRES TEMP PRES_ADJUSTED PSAL
MYO-MOON-01,ftp://medinsitu.hcmr.gr/Core/INSITU_MED_NRT_OBSERVATIONS_013_035/latest/20151117/GL_LATEST_PR_PF_6901243_20151117.nc,38.311,38.311,4.784,4.784,2015-11-17T08:18:10Z,2015-11-17T08:18:10Z,INSTITUTO ESPANOL DE OCEANOGRAFIA (MADRID),2015-12-01T14:30:57Z,R, PRES TEMP PSAL PRES_ADJUSTED
MYO-MOON-01,ftp://medinsitu.hcmr.gr/Core/INSITU_MED_NRT_OBSERVATIONS_013_035/latest/20151117/GL_LATEST_PR_PF_6901476_20151117.nc,38.1392,38.1392,2.38137,2.38137,2015-11-17T05:25:00Z,2015-11-17T05:25:00Z,IFREMER,2015-12-01T18:30:13Z,R, PRES TEMP PSAL DOX2
MYO-MOON-01,ftp://medinsitu.hcmr.gr/Core/INSITU_MED_NRT_OBSERVATIONS_013_035/latest/20151117/GL_LATEST_PR_PF_6901648_20151117.nc,40.8712,40.8712,4.78306,4.78306,2015-11-17T10:34:00Z,2015-11-17T10:34:00Z,LOV  Laboratoire Oceanographique de Villefranche,2015-12-01T10:03:29Z,R, PRES PSAL TEMP DOX2 DOWNWELLING_PAR DOWN_IRRADIANCE490 DOWN_IRRADIANCE380 DOWN_IRRADIANCE412 CDOM BBP700 CPHL CPHL_ADJUSTED NTAW
MYO-MOON-01,ftp://medinsitu.hcmr.gr/Core/INSITU_MED_NRT_OBSERVATIONS_013_035/latest/20151117/GL_LATEST_PR_PF_6901653_20151117.nc,39.2441,39.2441,4.45356,4.45356,2015-11-17T10:37:00Z,2015-11-17T10:37:00Z,LOV  Laboratoire Oceanographique de Villefranche,2015-12-01T17:49:53Z,R, PRES PSAL TEMP DOWNWELLING_PAR DOWN_IRRADIANCE490 DOWN_IRRADIANCE380 DOWN_IRRADIANCE412 CDOM BBP700 CPHL CPHL_ADJUSTED
